idiom,freq
自我批评,1016
雨后春笋,1016
物质文化,1014
十字路口,1009
同心同德,1008
大势所趋,1008
有目共睹,1008
声势浩大,1006
新陈代谢,1004
根深蒂固,1000
一本正经,999
久而久之,998
博大精深,997
天下第一,996
闪闪发光,993
喜闻乐见,992
男女老少,990
国计民生,988
与日俱增,987
自己动手,987
全神贯注,983
应有尽有,983
欢聚一堂,983
没完没了,982
明文规定,979
浩浩荡荡,979
从无到有,974
屡禁不止,974
急功近利,974
一视同仁,973
恍然大悟,971
大江南北,970
人口众多,968
雪上加霜,968
廉洁奉公,966
安然无恙,965
密密麻麻,964
强权政治,962
屡见不鲜,961
心甘情愿,960
雄心勃勃,958
侵权行为,956
一帆风顺,954
二百五,954
挪用公款,954
满怀信心,953
徇私舞弊,952
大起大落,951
束手无策,950
男女平等,949
和睦相处,948
相提并论,948
胡说八道,948
诸如此类,948
勃勃生机,945
先发制人,938
语重心长,938
信息资源,937
社会公德,937
新兴产业,934
力不从心,933
一天到晚,932
举世闻名,932
精神实质,932
不切实际,931
心满意足,931
座无虚席,930
顺理成章,930
坚持原则,929
漫不经心,925
五彩缤纷,923
破土动工,921
不屈不挠,920
大有可为,920
用武之地,914
功不可没,911
背道而驰,907
奠定基础,906
当之无愧,906
梦寐以求,904
生态平衡,903
别开生面,901
呕心沥血,901
不堪设想,900
悬而未决,898
持之以恒,898
辛辛苦苦,898
高瞻远瞩,896
沸沸扬扬,895
中产阶级,894
更上一层楼,891
取长补短,889
三位一体,886
审时度势,886
个体经营,884
五颜六色,882
若有所思,881
互不干涉,877
按劳分配,877
令人吃惊,876
情有独钟,876
吸收外资,874
熙熙攘攘,872
四个现代化,870
大政方针,869
万众一心,866
上层建筑,866
头等大事,863
谈何容易,862
丰功伟绩,861
欣欣向荣,860
咄咄逼人,858
归根结底,857
无关紧要,857
无影无踪,856
一无所有,855
加班加点,855
名胜古迹,855
坚韧不拔,855
气喘吁吁,855
赔偿损失,855
流离失所,851
信心十足,850
明明白白,850
多姿多彩,848
一年四季,846
严峻考验,845
绳之以法,845
时时刻刻,844
潜移默化,842
针锋相对,840
津津乐道,839
随时随地,838
收支平衡,837
脸色苍白,837
合资经营,835
四通八达,835
展望未来,835
清一色,833
铺天盖地,833
锲而不舍,833
喜出望外,832
心不在焉,832
引人入胜,831
衷心感谢,831
不可磨灭,830
焕然一新,830
自由自在,830
摇摇晃晃,829
不得而知,824
喘不过气,824
无忌惮,824
欢欣鼓舞,824
有利可图,822
规模宏大,822
远近闻名,821
量力而行,821
崭露头角,820
喜气洋洋,819
接二连三,819
深思熟虑,819
不慌不忙,818
津津有味,817
尊重知识,816
有增无减,816
始终不渝,815
本来面目,814
意料之外,812
社会心理,812
一清二楚,811
负担过重,811
告一段落,810
清正廉洁,810
系列报道,810
若无其事,809
从小到大,808
有心人,808
深入细致,806
念念不忘,805
四项基本原则,803
更有甚者,801
牵线搭桥,801
义无反顾,800
字里行间,800
不见经传,799
独树一帜,798
大声疾呼,797
大刀阔斧,796
深入生活,796
不可多得,795
如火如荼,795
行政诉讼,795
恰到好处,794
上当受骗,791
准备就绪,791
肆无忌惮,791
至高无上,791
消费结构,790
同心协力,788
异口同声,788
统筹安排,788
脍炙人口,788
习以为常,787
青年一代,786
由来已久,785
别出心裁,784
所见所闻,784
有法可依,783
整整齐齐,782
不解之缘,781
亲戚朋友,781
关键所在,781
泪流满面,781
港人治港,779
起死回生,779
当其冲,778
司空见惯,777
急急忙忙,777
据我所知,777
有意无意,777
深入群众,777
半壁江山,776
夜以继日,776
不择手段,775
首当其冲,775
保护伞,773
遥遥领先,773
面对现实,772
硬着头皮,771
一应俱全,768
自以为是,768
精神食粮,767
不合时宜,765
彬彬有礼,764
人头攒动,762
医治无效,761
深恶痛绝,760
生死存亡,757
勇于创新,756
成群结队,756
精益求精,756
榜上有名,755
汗马功劳,754
信息处理,752
名不见经传,752
提心吊胆,752
丰富多采,750
大张旗鼓,750
议论纷纷,750
资不抵债,750
纵横交错,749
绝无仅有,748
全副武装,747
繁荣富强,747
恶作剧,746
了如指掌,745
犹豫不决,745
相得益彰,745
卷土重来,744
脱口而出,744
艰苦卓绝,744
艺术风格,744
心平气和,743
德高望重,742
握手言和,741
百花齐放,741
难以忍受,741
目不转睛,740
严肃认真,739
出谋划策,738
埋头苦干,737
满腔热情,737
疲惫不堪,737
秩序井然,737
远见卓识,737
人才流动,736
别有用心,736
格格不入,736
寥寥无几,735
训练有素,735
众说纷纭,734
两极分化,733
可歌可泣,733
直言不讳,732
大显身手,731
信息咨询,730
热闹非凡,729
仅供参考,727
祖祖辈辈,727
铁饭碗,727
载歌载舞,725
风土人情,725
尊重人才,724
陷入僵局,724
信息社会,723
十分满意,723
大惊小怪,723
年复一年,723
咬牙切齿,720
赞不绝口,719
马不停蹄,719
斩钉截铁,717
难以忘怀,717
无与伦比,716
交流经验,715
锦上添花,714
不厌其烦,713
弱势群体,713
星罗棋布,713
来龙去脉,713
土生土长,710
赏心悦目,710
社会管理,709
真心实意,708
长大成人,707
毫不留情,706
高楼大厦,706
燃眉之急,705
人生价值,704
民主改革,704
大有作为,703
惊天动地,703
非同寻常,703
忍无可忍,702
不屑一顾,700
千里迢迢,700
并非如此,700
社会调查,700
为国争光,699
惊慌失措,699
不惜一切,698
大相径庭,698
可见一斑,696
赔礼道歉,696
走投无路,696
自上而下,695
异乎寻常,694
人力物力,692
恭恭敬敬,692
感慨万千,691
推波助澜,691
乌托邦,689
合情合理,689
政治理论,689
专心致志,688
可乘之机,688
毫不动摇,687
统一认识,687
上了年纪,686
拨乱反正,686
郁郁葱葱,686
一成不变,685
别具一格,685
深入浅出,685
跃跃欲试,685
震耳欲聋,685
蒸蒸日上,684
天经地义,681
得心应手,681
逢年过节,681
不计其数,680
黄金时代,680
无忧无虑,678
一枝独秀,677
扬长避短,677
匆匆忙忙,676
踏踏实实,676
朝气蓬勃,675
不可抗拒,674
分期分批,674
百家争鸣,674
波澜壮阔,672
突然袭击,672
货真价实,672
大名鼎鼎,671
违法乱纪,670
隐隐约约,670
面面相觑,670
提出异议,669
开门见山,667
春秋战国,667
富丽堂皇,666
无所作为,666
不足为奇,665
一声不响,664
接连不断,663
畅所欲言,663
畅通无阻,662
停滞不前,660
全国上下,660
吃苦耐劳,660
精力充沛,660
出类拔萃,659
心中有数,658
油然而生,658
措手不及,657
首屈一指,657
一望无际,655
刻骨铭心,655
千辛万苦,655
平民百姓,655
国家大事,654
大手笔,654
古往今来,653
大好形势,653
欣喜若狂,653
从头到尾,652
肃然起敬,652
自相矛盾,652
孜孜不倦,651
平易近人,651
胡思乱想,651
集思广益,651
一针见血,650
地地道道,650
市场风险,650
奋不顾身,649
死灰复燃,649
热火朝天,649
一声不吭,648
不得人心,648
千姿百态,648
车水马龙,648
铤而走险,648
销声匿迹,647
无偿援助,646
民俗风情,646
风尘仆仆,646
垂头丧气,645
深受感动,645
迷迷糊糊,645
一意孤行,644
生活费用,643
歇斯底里,642
反败为胜,641
衣食住行,641
不可估量,640
堂而皇之,638
好好学习,638
一无所获,636
千载难逢,635
置之不理,635
因势利导,634
素不相识,633
一分为二,632
尽心尽力,632
扑朔迷离,632
提高警惕,631
无穷无尽,630
荡然无存,630
拥军优属,629
相上下,628
按捺不住,627
走马上任,627
个体经济,626
军民团结,624
文责自负,624
自由选择,624
不拘一格,623
轩然大波,623
迎刃而解,623
闻名遐迩,623
供过于求,622
屈指可数,622
放在眼里,622
未雨绸缪,622
水泄不通,622
满不在乎,622
新闻简报,621
结结巴巴,621
还本付息,621
不相上下,620
令人震惊,620
千里之外,619
喜怒哀乐,619
脱离群众,619
巴不得,618
欢声笑语,618
泣不成声,618
溢于言表,618
精打细算,618
认认真真,618
责无旁贷,618
生气勃勃,617
言论自由,617
万里长城,615
接踵而至,615
模糊不清,614
不胜枚举,613
五光十色,613
从上到下,613
前前后后,613
叹为观止,613
夜幕降临,613
如数家珍,613
无声无息,613
事实真相,612
二话没说,612
东西南北,611
区别对待,611
寻常百姓,611
慷慨解囊,611
自我介绍,611
无所适从,610
热气腾腾,610
鳞次栉比,610
印象深刻,609
长途跋涉,609
阳光灿烂,609
一蹴而就,608
拒之门外,607
综合分析,607
鞠躬尽瘁,607
掏腰包,606
奄奄一息,605
微乎其微,604
分期付款,602
咬紧牙关,602
映入眼帘,602
千差万别,601
扫黄打非,601
小心谨慎,600
满头大汗,600
灵机一动,600
一线希望,599
毛骨悚然,599
势力范围,598
旷日持久,598
不声不响,597
破天荒,597
罪魁祸首,597
不亦乐乎,596
忐忑不安,596
浮出水面,596
与世隔绝,595
始终如一,595
推陈出新,594
痛痛快快,594
无所事事,593
绞尽脑汁,593
适得其反,593
历历在目,592
引人瞩目,592
蔚然成风,592
承前启后,591
面目全非,591
举步维艰,590
在所难免,590
川流不息,589
百万富翁,588
近在咫尺,588
无话可说,587
来来往往,587
站不住脚,587
脱胎换骨,587
投资效益,586
新生事物,586
千军万马,585
喃喃自语,585
如此这般,585
综上所述,585
目不暇接,584
自给自足,584
不绝于耳,583
参差不齐,583
成百上千,583
一盘棋,582
不堪重负,582
享有盛誉,582
出风头,581
无独有偶,581
望而却步,581
精疲力竭,581
顺口溜,581
气势磅礴,580
一脉相承,579
交相辉映,579
归口管理,579
混为一谈,579
艰难险阻,579
和蔼可亲,578
实际收入,578
对症下药,578
难以为继,578
一技之长,577
大有人在,577
精神抖擞,577
艰难困苦,576
心急如焚,575
迥然不同,575
居高临下,574
日复一日,574
全球战略,573
战战兢兢,573
无可厚非,573
令人失望,572
众志成城,572
热热闹闹,572
心安理得,571
非同小可,571
十年如一日,570
年久失修,570
从容不迫,569
千变万化,569
口口声声,569
胸有成竹,569
侃侃而谈,568
接踵而来,568
百折不挠,568
人口数量,567
人身自由,567
为所欲为,566
衷心祝愿,566
堂堂正正,565
忠于职守,565
相依为命,564
亲切慰问,563
人民大众,563
硕果累累,562
光明磊落,561
根本解决,561
古色古香,560
人人平等,559
奋发向上,559
赫赫有名,559
敲诈勒索,558
街头巷尾,558
井然有序,557
同舟共济,557
哭笑不得,557
无足轻重,557
千真万确,556
巡回演出,556
捉襟见肘,556
男男女女,556
一律平等,555
大同小异,555
精兵强将,555
一点一滴,554
互不侵犯,554
勇往直前,554
防患于未然,554
风云人物,554
不知去向,553
不假思索,552
冷冷清清,552
无人问津,552
英雄气概,552
一筹莫展,551
专题报告,551
如此等等,551
无微不至,550
无缘无故,550
依依不舍,549
不可开交,548
冰天雪,547
名目繁多,547
无拘无束,547
发人深省,546
摇钱树,546
连连点头,546
一去不复返,545
手忙脚乱,545
硬骨头,545
纪律严明,545
三三两两,544
居安思危,544
站稳脚跟,544
名列榜首,543
行政行为,543
不可收拾,542
与生俱来,542
从今以后,542
吃喝玩乐,542
冰天雪地,541
水落石出,541
紧要关头,541
轰动一时,541
崇山峻岭,540
勤工俭学,539
救死扶伤,539
毋庸置疑,538
生意兴隆,538
统筹兼顾,538
尽职尽责,537
无中生有,537
缺一不可,537
诚心诚意,537
图文并茂,535
明目张胆,535
有生之年,535
谦虚谨慎,534
轻描淡写,534
口头禅,533
谈笑风生,533
我行我素,532
漠不关心,532
赞叹不已,532
动荡不安,531
大吃大喝,531
通俗易懂,531
不负众望,530
分门别类,530
天涯海角,530
默不作声,530
不容置疑,529
不胫而走,529
有的放矢,529
精疲力尽,529
同日而语,528
共命运,527
冉冉升起,527
升级换代,527
每况愈下,527
铺张浪费,527
事半功倍,526
幸免于难,526
骇人听闻,526
相对而言,525
随随便便,525
励精图治,524
烟消云散,524
远道而来,524
白发苍苍,523
大失所望,522
身先士卒,522
鸦雀无声,522
投案自首,521
见天日,521
当机立断,519
断然拒绝,519
深信不疑,519
品学兼优,518
怒气冲冲,518
爱不释手,518
独立思考,518
确确实实,518
代代相传,517
啼笑皆非,517
每时每刻,517
谢天谢地,517
专款专用,516
严于律己,516
想来想去,516
助人为乐,515
恰如其分,515
擦肩而过,515
无精打采,514
此情此景,514
流连忘返,514
喋喋不休,513
奋发图强,513
挨家挨户,513
物美价廉,513
群策群力,513
全军覆没,512
如释重负,512
糊里糊涂,512
从天而降,511
庞然大物,511
感人至深,511
毫无保留,511
率先垂范,511
酸甜苦辣,511
从早到晚,510
拥政爱民,510
分级管理,509
夜深人静,509
尊师重教,509
壮烈牺牲,508
翻来覆去,507
任务艰巨,506
后起之秀,506
大好时机,506
异国他乡,506
现身说法,505
瞬息万变,505
千篇一律,504
安营扎寨,504
闷闷不乐,504
婉言谢绝,503
左邻右舍,503
扬眉吐气,503
绚丽多彩,503
踌躇满志,502
过意不去,502
剩余价值,501
各司其职,501
沾沾自喜,501
一塌糊涂,500
不同凡响,500
坐立不安,500
花色品种,500
一统天下,499
七嘴八舌,499
一见钟情,498
勤俭节约,498
雪中送炭,498
茁壮成长,497
人山人海,496
人满为患,496
慷慨激昂,496
白手起家,496
轻松愉快,496
发人深思,495
发号施令,495
无可非议,495
平安无事,494
袖手旁观,494
心旷神怡,493
取之不尽,492
打下基础,492
毫不客气,492
皆大欢喜,492
蜂拥而至,492
吞吞吐吐,491
大可不必,490
并驾齐驱,490
压倒一切,489
鼓起勇气,489
一臂之力,488
十全十美,488
翩翩起舞,488
豁然开朗,488
三令五申,487
争论不休,487
前无古人,487
急于求成,487
支离破碎,487
朝夕相处,487
真知灼见,487
规规矩矩,486
金碧辉煌,484
天方夜谭,483
成绩斐然,483
年富力强,482
饱眼福,482
一尘不染,481
东张西望,481
完美无缺,481
曾几何时,481
干净利落,480
背水一战,480
雄心壮志,480
一路领先,479
得不偿失,479
捷足先登,479
欢天喜地,479
民族之林,478
自告奋勇,477
设身处地,477
东山再起,476
事与愿违,476
大开眼界,476
有章可循,476
父母在,476
贪赃枉法,476
一干二净,475
义务劳动,475
志同道合,475
消息灵通,475
粗制滥造,475
说三道四,475
原汁原味,474
大喊大叫,474
得民心,474
浴血奋战,474
齐头并进,474
出其不意,473
手足无措,473
政治地位,473
一小撮,472
井井有条,472
勤勤恳恳,472
多多少少,472
夺眶而出,472
得意洋洋,472
一步到位,471
一鼓作气,471
独领风骚,471
遍地开花,471
高高在上,471
严阵以待,470
自营出口,470
惨不忍睹,469
手舞足蹈,469
脑力劳动,469
分工负责,468
闪闪发亮,468
以次充好,467
投机倒把,467
灯火辉煌,467
跌跌撞撞,467
郑重其事,467
一窝蜂,466
相差无几,466
有血有肉,465
渡过难关,465
鼎盛时期,465
定心丸,464
幅员辽阔,464
救世主,464
无边无际,464
沉默不语,464
有生以来,463
讨人喜欢,463
铺平道路,463
公平合理,462
模模糊糊,462
沉默寡言,462
任劳任怨,461
如出一辙,461
始料不及,461
有鉴于此,461
耿于怀,461
耿耿于怀,461
一片漆黑,460
偷税漏税,460
好景不长,460
家常便饭,460
异彩纷呈,460
迫不得已,460
势均力敌,459
一厢情愿,458
不速之客,458
打击报复,458
有气无力,458
权宜之计,458
煞费苦心,458
痛心疾首,458
举一反三,457
倾家荡产,457
摸不着头脑,457
市场繁荣,456
错落有致,456
不了了之,455
不谋而合,455
振作起来,455
死里逃生,455
叱咤风云,454
心烦意乱,454
无时无刻,454
饶有兴趣,454
迷惑不解,453
双目失明,452
大胆创新,452
弯弯曲曲,452
花花绿绿,452
身不由己,452
一步一个脚印,451
拭目以待,451
百年不遇,451
百年不遇],451
长此以往,451
不可动摇,450
嘻嘻哈哈,450
忠心耿耿,450
振奋人心,450
温文尔雅,450
一触即发,449
天翻地覆,449
意见分歧,449
法三章,449
社会系统,449
外引内联,448
白色恐怖,448
艰苦朴素,448
同呼吸,447
扣人心弦,447
破口大骂,447
约法三章,447
你死我活,446
清晰可见,446
各抒己见,445
知难而进,445
跑来跑去,445
连锁反应,445
阳光明媚,445
风景秀丽,445
一年到头,444
无所不在,444
一蹶不振,443
三五成群,443
不能自拔,443
所以然,443
进进出出,443
雷厉风行,443
望而生畏,442
殷殷??,442
逃之夭夭,442
乐此不疲,441
人才济济,441
令人痛心,441
友好相处,441
变本加厉,441
忙忙碌碌,441
痛定思痛,441
一往情深,440
严厉谴责,440
化为乌有,440
头脑清醒,440
想当然,440
特许经营,440
色彩斑斓,440
引咎辞职,439
慢条斯理,439
瞠目结舌,439
血肉之躯,438
软弱无力,438
驱逐出境,438
社会阶层,437
耳闻目睹,437
苦口婆心,437
遇刺身亡,437
毫不含糊,436
顾大局,436
上山下乡,435
同甘共苦,435
愁眉苦脸,435
无稽之谈,435
求之不得,435
一言一行,434
慌慌张张,434
柳暗花明,434
殷切期望,434
神圣职责,434
顾名思义,434
可有可无,433
失之交臂,433
异想天开,433
所剩无几,433
狂风暴雨,433
翻山越岭,433
人口密度,432
令人羡慕,432
受益匪浅,432
尽善尽美,432
心情舒畅,432
护身符,432
气势恢宏,432
满脸通红,432
省吃俭用,432
能上能下,432
舒舒服服,432
不为所动,431
不寒而栗,431
严严实实,431
光辉灿烂,431
千头万绪,431
岗位责任,431
一哄而上,430
一哄而起,430
举世公认,430
团团转,430
何去何从,429
杂乱无章,429
独到之处,429
光彩夺目,428
勤劳致富,428
指日可待,428
煞有介事,428
蛛丝马迹,428
长远规划,428
大千世界,427
大获全胜,427
娘子军,427
职权范围,427
不可一世,426
投资决策,426
不出户,425
到此为止,424
愤愤不平,424
百感交集,424
风起云涌,424
以工代赈,423
光天化日,423
有说有笑,423
苦不堪言,423
似是而非,422
动弹不得,422
同归于尽,422
一鸣惊人,421
反反复复,421
大惑不解,420
消化不良,420
独占鳌头,420
盛况空前,420
面红耳赤,420
一马当先,419
后继有人,419
因人而异,419
山水相连,419
开花结果,419
苦心经营,419
举国上下,418
恋恋不舍,418
慕名而来,418
打成一片,418
政治文化,418
防不胜防,418
人力资本,417
教书育人,417
有发言权,417
长足进步,417
难以预料,417
一窍不通,416
世代相传,416
信以为真,416
如鱼得水,416
心有余悸,416
重振雄风,416
何乐而不为,415
半信半疑,415
幸灾乐祸,415
浑然一体,415
依法逮捕,414
入不敷出,414
分道扬镳,414
变幻莫测,414
彻头彻尾,414
通情达理,414
一饮而尽,413
世外桃源,413
偷偷摸摸,413
威风凛凛,413
气势汹汹,413
肝胆相照,413
蓬勃兴起,413
一事无成,412
一波三折,412
人心所向,412
令人费解,412
城乡结合,412
年事已高,412
殚精竭虑,412
毫不相干,412
自欺欺人,412
资本结构,412
今非昔比,411
浑身解数,411
自食其力,411
为时过早,410
诗情画意,410
天衣无缝,409
打定主意,409
足不出户,409
身临其境,409
转危为安,409
不伦不类,408
大发雷霆,408
筋疲力尽,408
一日三餐,407
信息反馈,407
大做文章,407
市场导向,407
按部就班,407
水到渠成,407
名正言顺,406
臭名昭著,406
先天不足,405
安全第一,405
市场疲软,405
消费观念,405
熠熠生辉,405
耳熟能详,405
见利忘义,405
鼓舞人心,405
倒行逆施,404
先声夺人,404
心惊肉跳,404
朴实无华,404
光明正大,403
冷酷无情,403
天壤之别,403
小农经济,403
岌岌可危,403
想尽办法,403
春夏秋冬,403
自下而上,403
完好无损,402
经久不息,402
一落千丈,401
与世长辞,401
亲自出马,401
亲自动手,401
不可逾,400
令人钦佩,400
才华横溢,400
运筹帷幄,400
进退两难,400
风雨同舟,400
高屋建瓴,400
不可战胜,399
千丝万缕,399
天伦之乐,399
容光焕发,399
暴发户,399
风和日丽,399
实话实说,398
怨天尤人,398
原封不动,397
装腔作势,397
风华正茂,397
出生入死,396
压岁钱,396
流光溢彩,396
逍遥法外,396
大惊失色,395
杯水车薪,395
纹丝不动,395
不可逾越,394
凤毛麟角,394
出人头地,394
一身冷汗,393
唯利是图,393
恼羞成怒,393
扬长而去,393
改头换面,393
真相大白,393
自私自利,393
命中注定,392
广阔天地,392
心血来潮,392
雅俗共赏,392
鬼鬼祟祟,392
中流砥柱,391
急转直下,391
放任自流,391
灭顶之灾,391
立竿见影,391
一而再,390
有过之,390
毫无道理,390
窃窃私语,390
不信任案,389
价廉物美,389
切切实实,389
哗众取宠,389
年过半百,389
浑身发抖,389
满天飞,389
直接融资,389
首战告捷,389
一败涂地,388
又惊又喜,388
大有裨益,388
气急败坏,388
泛滥成灾,387
里里外外,387
风平浪静,387
五湖四海,386
怒不可遏,386
随波逐流,386
人所共知,385
勃然大怒,385
各负其责,385
戒备森严,385
花团锦簇,385
一劳永逸,384
三言两语,384
不法之徒,384
叫苦不迭,384
呐喊助威,384
意气风发,384
生儿育女,384
置若罔闻,384
冲锋陷阵,383
步履维艰,383
装模作样,383
阿弥陀佛,383
上帝保佑,382
似曾相识,382
双管齐下,382
多才多艺,382
并肩作战,382
感人肺腑,382
点点滴滴,382
一气呵成,381
公之于众,381
黄金时间,381
利国利民,380
风风火火,380
头头是道,379
安家落户,379
截然相反,379
毋庸讳言,379
群众运动,379
震撼人心,379
