word,freq,rank
进入,1330,444
透过,1329,445
资源,1325,446
原因,1319,447
啦,1316,448
情形,1316,448
妳,1314,450
观念,1307,451
软件,1307,451
不少,1305,453
改变,1299,454
品质,1297,455
嗯,1294,456
后来,1292,457
精神,1289,458
好像,1287,459
于是,1283,460
美,1277,461
参与,1274,462
中央,1267,463
公园,1266,464
部分,1265,465
句,1262,466
路,1261,467
共同,1259,468
努力,1251,469
具有,1249,470
目标,1247,471
边,1243,472
所谓,1243,472
建设,1234,474
学,1234,474
行为,1233,476
头,1232,477
极,1231,478
段,1228,479
感觉,1228,479
合作,1228,479
加上,1228,479
台,1226,483
不断,1222,484
根据,1217,485
意见,1213,486
办法,1209,487
这里,1209,487
音乐,1208,489
厂商,1204,490
老,1202,491
一切,1201,492
或是,1198,493
受到,1198,493
女性,1195,495
教学,1194,496
真的,1190,497
只有,1186,498
获得,1184,499
女人,1180,500
分析,1178,501
自由,1176,502
部份,1174,503
建议,1167,504
类,1166,505
准备,1163,506
标准,1162,507
工程,1162,507
人民,1161,509
现象,1161,509
举行,1160,511
土地,1159,512
住,1159,512
相信,1155,514
面对,1154,515
具,1153,516
片,1152,517
继续,1143,518
注意,1143,518
报导,1141,520
变成,1141,520
自我,1137,522
政策,1135,523
需,1134,524
存在,1133,525
成功,1129,526
制度,1128,527
强调,1127,528
需求,1127,528
人士,1126,530
课程,1123,531
人生,1122,532
往,1122,532
意义,1120,534
那些,1117,535
开,1116,536
爸爸,1112,537
新闻,1112,537
产业,1107,539
第三,1106,540
民间,1101,541
虽,1101,541
负责,1099,543
几乎,1099,543
直接,1096,545
实际,1095,546
价值,1094,547
口,1093,548
团体,1093,548
最近,1088,550
花,1083,551
不但,1082,552
形成,1082,552
科技,1081,554
民国,1080,555
使得,1080,555
作业,1077,557
本身,1076,558
某,1076,558
七,1076,558
似乎,1074,561
或者,1072,562
动物,1068,563
字,1068,563
态度,1064,565
回,1063,566
常常,1060,567
电话,1058,568
事业,1058,568
一起,1054,570
坐,1054,570
实在,1051,572
有的,1051,572
哪,1050,574
块,1049,575
十分,1049,575
举办,1043,577
拿,1043,577
目的,1040,579
条件,1039,580
即使,1038,581
主管,1038,581
科学,1036,583
针对,1035,584
多少,1032,585
说明,1031,586
放,1029,587
电影,1027,588
早,1021,589
少,1017,590
委员会,1017,590
套,1016,592
近,1014,593
沟通,1013,594
执行,1013,594
比赛,1008,596
引起,1006,597
员工,1004,598
总统,1002,599
死,999,600
拥有,998,601
并且,997,602
程序,997,602
安全,996,604
此外,996,604
系,996,604
作为,995,607
研究所,994,608
原来,994,608
事件,993,610
故事,989,611
语言,987,612
学术,986,613
之外,983,614
设备,982,615
车,981,616
一下,981,616
久,980,618
座,978,619
清楚,977,620
严重,976,621
结构,974,622
改善,972,623
帮助,970,624
达到,970,624
东尼,970,624
皆,969,627
就是,969,627
行动,963,629
共,962,630
小组,961,631
专业,960,632
八,958,633
基础,958,633
仅,957,635
学者,956,636
生产,952,637
喝,951,638
值得,951,638
喔,950,640
医院,950,640
阶段,949,642
支持,949,642
母亲,948,644
交通,947,645
嘛,945,646
里面,943,647
快乐,942,648
压力,940,649
电视,939,650
分别,938,651
谈,938,651
也许,936,653
院,936,653
敢,935,655
人们,935,655
香港,935,655
报告,933,658
竞争,933,658
申请,933,658
而是,932,661
够,932,661
生,932,661
下午,932,661
台北市,931,665
行,930,666
怕,928,667
别,921,668
身体,919,669
靠,918,670
知识,916,671
程度,913,672
积极,913,672
越,913,672
站,912,675
现代,908,676
远,907,677
记者,903,678
角色,903,678
据,903,678
变化,901,681
机构,900,682
除,899,683
玩,897,684
鼓励,896,685
状况,896,685
出来,894,687
小时,894,687
效果,893,689
保护,891,690
首,890,691
不仅,889,692
专家,889,692
根本,888,694
父亲,887,695
代,884,696
附近,878,697
曾经,877,698
愿意,877,698
小孩,869,700
重视,869,700
回来,868,702
经费,867,703
份,865,704
中共,865,704
中国人,864,706
欢迎,863,707
满,863,707
男人,861,709
不再,860,710
主义,859,711
底,857,712
经常,857,712
理想,857,712
避免,856,715
山,856,715
属于,856,715
声音,855,718
省,855,718
实施,855,718
低,854,721
不可,853,722
校园,852,723
兴趣,851,724
思想,850,725
限制,850,725
晚上,849,727
显示,849,727
治疗,848,729
主任,844,730
电子,841,731
终于,837,732
谢谢,833,733
须,833,733
困难,832,735
实验,830,736
法,826,737
协助,825,738
教,824,739
性,824,739
当地,822,741
提升,822,741
推出,820,743
因素,820,743
正式,820,743
愈,819,746
画,817,747
认识,816,748
价格,815,749
方向,814,750
指,814,750
供,813,752
看看,813,752
周,812,754
工业,811,755
责任,811,755
大量,810,757
变,807,758
之前,807,758
总,807,758
通过,806,761
逐渐,806,761
简单,805,763
心理,805,763
城市,802,765
运用,800,766
占,800,766
观察,796,768
部,795,769
往往,794,770
业务,793,771
重新,793,771
领域,791,773
感到,790,774
仍然,790,774
减少,788,776
从事,785,777
发挥,785,777
公共,785,777
人才,785,777
行政,784,781
有效,784,781
眼,783,783
银行,783,783
媒体,781,785
左右,781,785
反而,780,787
提高,779,788
教育部,778,789
力量,776,790
女,775,791
同样,775,791
介绍,774,793
声,774,793
笑,774,793
超过,773,796
维持,773,796
昨日,772,798
台大,771,799
通常,771,799
习惯,770,801
结合,769,802
小区,769,802
组,769,802
缺乏,765,805
必要,764,806
特色,764,806
有时,762,808
总是,762,808
故,761,810
数,760,811
控制,757,812
委员,757,812
原则,757,812
家长,752,815
脸,752,815
人家,751,817
校长,750,818
否则,748,819
教师,748,819
门,748,819
工具,747,822
面,747,822
刚,745,824
节目,745,824
达,744,826
智慧,744,826
来自,742,828
形式,742,828
以为,740,830
首先,739,831
警方,734,832
担任,733,833
特殊,732,834
人口,731,835
长期,731,835
健康,730,837
这样子,730,837
前往,728,839
制作,728,839
对象,724,841
加以,724,841
文,724,841
思考,723,844
演出,723,844
追求,722,846
儿童,720,847
国中,719,848
加强,719,848
安排,718,850
民主,718,850
范围,717,852
整体,717,852
双方,716,854
牠,715,855
表演,713,856
加入,712,857
年轻,712,857
原,712,857
结束,711,860
取得,711,860
老人,710,862
协会,710,862
妇女,709,864
创作,708,865
找到,708,865
到底,705,867
反应,704,868
北京,703,869
彼此,703,869
回到,703,869
之下,703,869
度,702,873
而已,702,873
全球,702,873
成本,701,876
称,700,877
等等,700,877
小姐,700,877
正在,698,880
采用,697,881
随着,697,881
永远,697,881
充满,696,884
欧洲,696,884
期间,696,884
系列,695,887
颇,692,888
大概,691,889
愿,691,889
不足,689,891
层,687,892
意识,686,893
在于,685,894
不错,684,895
期,684,895
旁,683,897
深,683,897
进一步,682,899
美元,682,899
强,682,899
送,682,899
民族,681,903
战争,681,903
参考,678,905
大众,678,905
改革,677,907
公尺,676,908
何,675,909
念,675,909
丰富,674,911
将来,674,911
对方,672,913
树,672,913
怎么样,672,913
发表,671,916
正确,671,916
为主,670,918
适合,669,919
表达,668,920
只好,668,920
班,667,922
明显,667,922
高兴,666,924
肯定,666,924
官员,664,926
制造,664,926
般,663,928
国外,663,928
人物,663,928
苏联,663,928
关心,662,932
哦,662,932
白,661,934
听到,660,935
消费者,660,935
不必,658,937
茶,658,937
创造,658,937
成绩,657,940
群,657,940
不管,656,942
不论,656,942
帮,655,944
理论,655,944
水平,655,944
伊拉克,655,944
居民,654,948
算,654,948
带来,653,950
美丽,653,950
尚,653,950
国民党,650,953
二十,647,954
感情,647,954
儿子,646,956
活,646,956
反对,644,958
独立,643,959
那里,643,959
样,643,959
回家,642,962
全部,641,963
英国,641,963
突然,639,965
绝对,638,966
类似,637,967
西方,637,967
分钟,636,969
面临,636,969
内部,636,969
眼睛,635,972
更多,634,973
专利,630,974
反,629,975
离开,629,975
成果,628,977
课,627,978
心情,627,978
客户,624,980
室,623,981
现场,623,981
重,622,983
原本,621,984
读,620,985
股,620,985
方便,619,987
解释,619,987
李,618,989
领导,618,989
印象,618,989
保持,617,992
确实,617,992
时期,617,992
她们,617,992
初,616,996
或许,616,996
气,616,996
图书馆,616,996
选手,616,996
病人,615,1001
以来,614,1002
有时候,614,1002
海,613,1004
光,612,1005
广告,612,1005
新加坡,612,1005
部门,611,1008
太多,607,1009
办理,606,1010
商业,605,1011
方案,604,1012
竟,604,1012
担心,603,1014
九,603,1014
掌握,603,1014
看法,601,1017
两岸,601,1017
社团,601,1017
展开,601,1017
博士,600,1021
届,600,1021
至少,599,1023
原住民,598,1024
措施,596,1025
道路,596,1025
既,596,1025
同意,596,1025
学院,596,1025
大型,594,1030
策略,593,1031
穿,593,1031
上午,593,1031
互相,592,1034
新竹,592,1034
作用,592,1034
相同,590,1037
选举,590,1037
步,589,1039
求,589,1039
欣赏,589,1039
法律,588,1042
倒,587,1043
项目,587,1043
采取,586,1045
在一起,586,1045
毕业,585,1047
慢慢,585,1047
意思,585,1047
词,584,1050
平均,584,1050
地位,583,1052
保存,581,1053
持续,579,1054
评估,579,1054
邀请,579,1054
看见,578,1057
满足,578,1057
速度,578,1057
中华,578,1057
高雄,577,1061
医疗,577,1061
本来,576,1063
支援,576,1063
重点,576,1063
回答,575,1066
利益,575,1066
案,574,1068
亚洲,574,1068
组成,574,1068
符合,573,1071
以下,573,1071
女儿,572,1073
立刻,571,1074
动作,570,1075
上课,570,1075
唯一,570,1075
的确,569,1078
卖,568,1079
批,568,1079
用户,568,1079
主题,568,1079
好好,567,1083
检查,567,1083
快速,567,1083
三十,567,1083
整合,567,1083
进,566,1088
文学,566,1088
欲,565,1090
按,564,1091
设施,564,1091
做为,564,1091
信,563,1094
统一,562,1095
复杂,561,1096
失去,561,1096
高中,560,1098
九月,560,1098
例,560,1098
模式,560,1098
人数,560,1098
统计,559,1103
吸引,559,1103
想要,559,1103
支,558,1106
如今,557,1107
调整,556,1108
推广,556,1108
旅游,555,1110
具体,554,1111
旧,552,1112
体育,552,1112
宗教,552,1112
太太,551,1115
图,550,1116
想到,550,1116
篇,549,1118
上面,549,1118
它们,549,1118
现实,549,1118
待,548,1122
观众,548,1122
记得,548,1122
理念,548,1122
提,548,1122
之中,548,1122
因而,547,1128
立场,545,1129
方,544,1130
替,544,1130
争取,544,1130
差,543,1133
尊重,543,1133
地点,542,1135
这时,542,1135
属,541,1137
院长,540,1138
正常,540,1138
笔,539,1140
进步,539,1140
不可能,538,1142
角度,538,1142
考试,537,1144
完整,537,1144
交流,536,1146
环保,535,1147
培养,535,1147
少年,535,1147
呈现,534,1150
尚未,534,1150
十二,534,1150
危机,534,1150
照顾,534,1150
达成,533,1155
辅导,533,1155
上述,533,1155
党,531,1158
七月,531,1158
污染,530,1160
当中,529,1161
扩大,528,1162
一旦,527,1163
风格,526,1164
多媒体,525,1165
费用,525,1165
机关,525,1165
劳工,525,1165
普遍,525,1165
情绪,525,1165
下去,525,1165
六月,524,1172
数据库,523,1173
工厂,522,1174
马上,522,1174
难以,522,1174
食物,522,1174
享受,522,1174
差异,521,1179
番,521,1179
说话,521,1179
房子,520,1182
比例,519,1183
趋势,518,1184
办,517,1185
贸易,517,1185
区域,517,1185
设立,517,1185
购买,516,1189
观点,516,1189
规模,516,1189
换,515,1192
立即,515,1192
破坏,515,1192
青年,515,1192
消息,515,1192
选,515,1192
文字,514,1198
河川,513,1199
加,513,1199
投入,513,1199
八月,512,1202
结婚,512,1202
就是说,512,1202
定,511,1205
人力,511,1205
适当,511,1205
遭,511,1205
日子,510,1209
医师,510,1209
游戏,510,1209
第四,509,1212
动,508,1213
行政院,508,1213
演讲,508,1213
顺利,507,1216
销售,507,1216
必,506,1218
参观,506,1218
当年,506,1218
日前,506,1218
维护,505,1222
样子,504,1223
公开,503,1224
红,503,1224
计算,502,1226
民进党,502,1226
效率,502,1226
有限,502,1226
接触,501,1230
王,500,1231
最好,500,1231
访问,499,1233
位于,499,1233
预算,499,1233
出版,498,1236
流行,497,1237
大约,496,1238
观光,496,1238
脚,496,1238
运作,496,1238
降低,495,1242
来源,495,1242
理由,495,1242
召开,495,1242
采,494,1246
藉,494,1246
青少年,494,1246
合理,493,1249
出去,492,1250
男,492,1250
直到,492,1250
中华民国,492,1250
根,491,1254
管,491,1254
生物,491,1254
答案,488,1257
懂,488,1257
十月,488,1257
中文,488,1257
十五,487,1261
明年,486,1262
金融,485,1263
下来,485,1263
证明,485,1263
自行,485,1263
法国,484,1267
垃圾,484,1267
农民,484,1267
给予,483,1270
四十,483,1270
刚刚,482,1272
股市,482,1272
考,482,1272
讯息,482,1272
法令,481,1276
公里,481,1276
伤害,480,1278
报,479,1279
酒,479,1279
倍,478,1281
尽管,478,1281
跑,478,1281
一方面,478,1281
无论,477,1285
高速,476,1286
办公室,475,1287
忙,475,1287
良好,474,1289
提到,474,1289
墙,473,1291
院士,473,1291
错,472,1293
有点,472,1293
导致,471,1295
气氛,471,1295
充分,470,1297
例子,470,1297
局,469,1299
汽车,469,1299
权力,469,1299
设,469,1299
生存,469,1299
最佳,469,1299
基金会,467,1305
级,467,1305
妈,467,1305
主张,467,1305
博物馆,466,1309
小孩子,466,1309
冲突,465,1311
今,465,1311
哪里,465,1311
乃,465,1311
生态,465,1311
族群,465,1311
见到,464,1317
诗,464,1317
想象,464,1317
船,463,1320
形象,463,1320
五月,462,1322
读书,461,1323
男女,461,1323
杂志,461,1323
想法,460,1326
医生,460,1326
某些,459,1328
究竟,457,1329
留下,456,1330
通讯,456,1330
搞,455,1332
广场,455,1332
坚持,455,1332
森林,455,1332
颗,454,1336
联合,454,1336
成员,453,1338
影像,453,1338
欸,452,1340
感受,452,1340
特性,452,1340
病,451,1343
大楼,451,1343
今日,450,1345
主动,450,1345
背景,449,1347
强烈,448,1348
挑战,448,1348
近年,447,1350
接着,446,1351
文章,446,1351
深入,445,1353
越来越,445,1353
重大,445,1353
队,444,1356
即将,444,1356
既然,444,1356
心灵,444,1356
大部分,443,1360
家人,443,1360
譬如,443,1360
危险,443,1360
唱,442,1364
陈,442,1364
痛苦,442,1364
李文秀,441,1367
不久,440,1368
错误,440,1368
革命,440,1368
顾客,440,1368
获,440,1368
期望,440,1368
发,439,1374
回去,439,1374
随时,439,1374
五十,439,1374
公平,438,1378
营销,438,1378
子女,438,1378
黑,437,1381
技巧,437,1381
进口,437,1381
确定,436,1384
学期,436,1384
距离,435,1386
摄影,435,1386
弟弟,434,1388
视为,434,1388
探讨,434,1388
纷纷,433,1391
赴,433,1391
小心,433,1391
以往,433,1391
主办,433,1391
状态,433,1391
成就,432,1397
相,432,1397
风,431,1399
衣服,431,1399
男性,430,1401
女孩,430,1401
高度,428,1403
教室,428,1403
老板,428,1403
名字,428,1403
太阳,428,1403
建筑师,427,1408
毛,427,1408
明天,427,1408
国民,426,1411
天下,426,1411
扮演,425,1413
称为,425,1413
相对,425,1413
校方,425,1413
至今,425,1413
飞机,424,1418
工人,424,1418
杀,424,1418
少数,424,1418
研讨会,424,1418
材料,423,1423
读者,423,1423
负担,423,1423
公路,423,1423
算是,423,1423
特征,423,1423
移民,423,1423
派,422,1430
视,422,1430
鱼,422,1430
早已,422,1430
国人,421,1434
数量,421,1434
操作,420,1436
即可,420,1436
架构,420,1436
显然,420,1436
兴建,420,1436
放弃,419,1441
一百,419,1441
判断,418,1443
相互,417,1444
信心,416,1445
一生,416,1445
大会,415,1447
德国,414,1448
三月,414,1448
小说,414,1448
那样,413,1451
建,412,1452
梦,412,1452
台中,412,1452
突破,412,1452
学会,412,1452
道德,411,1457
随,411,1457
政大,411,1457
依据,410,1460
集团,408,1461
前面,408,1461
消失,408,1461
著名,408,1461
表,407,1465
画面,407,1465
甚,407,1465
实,407,1465
菜,406,1469
建筑物,405,1470
尽,405,1470
尽量,405,1470
经由,405,1470
心态,405,1470
遇到,405,1470
主席,405,1470
百,403,1477
道理,403,1477
区,403,1477
说法,403,1477
报名,402,1481
集中,402,1481
愈来愈,402,1481
歌,401,1484
婚姻,401,1484
医学,401,1484
色彩,400,1487
协调,400,1487
宣布,400,1487
地球,399,1490
警察,399,1490
可惜,399,1490
输入,399,1490
论文,398,1494
热,398,1494
休闲,398,1494
指导,398,1494
哥哥,397,1498
恐怕,397,1498
苦,397,1498
收,397,1498
型态,397,1498
分为,396,1503
关键,396,1503
记忆,396,1503
可爱,396,1503
尼奥,396,1503
上海,396,1503
档案,395,1509
满意,395,1509
死亡,395,1509
最多,395,1509
出国,394,1513
贡献,394,1513
任,394,1513
兄弟,394,1513
有趣,394,1513
职业,394,1513
紧张,393,1519
商品,393,1519
专案,393,1519
英文,392,1522
全面,391,1523
保障,390,1524
记录,390,1524
孔子,390,1524
预计,390,1524
种种,390,1524
短,389,1529
四月,389,1529
体系,389,1529
马,388,1532
十二月,388,1532
不一定,387,1534
关于,387,1534
坏,387,1534
林,387,1534
牠们,387,1534
外国,387,1534
障碍,387,1534
报纸,386,1541
疾病,386,1541
奖励,386,1541
碰到,386,1541
西,386,1541
其它,385,1546
一半,385,1546
哲学,385,1546
漫画,384,1549
同仁,384,1549
现有,384,1549
资金,384,1549
人文,383,1553
消费,383,1553
明白,382,1555
位置,382,1555
夜,382,1555
狗,381,1558
很少,381,1558
鸟,381,1558
睡,381,1558
稳定,381,1558
长大,381,1558
市长,380,1564
寻找,380,1564
北,379,1566
朝,379,1566
刺激,379,1566
促进,379,1566
电信,379,1566
海外,379,1566
厨房,378,1572
忽然,378,1572
留,378,1572
植物,378,1572
接近,377,1576
面积,377,1576
显得,377,1576
再度,377,1576
平常,376,1580
通信,376,1580
为何,376,1580
测试,375,1583
到处,375,1583
高达,375,1583
胡适,375,1583
困扰,375,1583
来到,375,1583
补助,374,1589
答,374,1589
公元,374,1589
人人,374,1589
一时,374,1589
仔细,374,1589
反映,373,1595
概念,373,1595
纪录,373,1595
渐渐,373,1595
作法,373,1595
好几,372,1600
动词,371,1601
年轻人,371,1601
干,370,1603
规则,370,1603
检讨,370,1603
连续,370,1603
不如,369,1607
当初,369,1607
怀疑,369,1607
游客,369,1607
互动,368,1611
教材,368,1611
联机,368,1611
辛苦,368,1611
易,368,1611
黄,367,1616
交换,367,1616
男生,367,1616
神,367,1616
画家,366,1620
交易,366,1620
接,366,1620
县,366,1620
丈夫,366,1620
整理,366,1620
女生,365,1626
数字,365,1626
景观,364,1628
居住,364,1628
他人,364,1628
直,364,1628
基于,363,1632
焦点,363,1632
拍,363,1632
入,363,1632
县市,363,1632
修正,363,1632
一向,363,1632
保险,362,1639
固定,362,1639
恢复,362,1639
会员,362,1639
举,362,1639
奇怪,362,1639
实现,362,1639
波,361,1646
具备,361,1646
空气,361,1646
漂亮,361,1646
以免,361,1646
因应,361,1646
深刻,360,1652
教练,359,1653
男子,359,1653
权利,359,1653
跳,359,1653
怎样,359,1653
总经理,359,1653
规范,358,1659
批评,358,1659
设置,358,1659
物质,358,1659
照片,358,1659
宿舍,357,1664
宇宙,356,1665
更加,355,1666
早期,355,1666
综合,355,1666
飞,354,1669
似,354,1669
迅速,354,1669
背,353,1672
此时,353,1672
父母亲,353,1672
后面,353,1672
早上,353,1672
住宅,353,1672
大多数,352,1678
内心,351,1679
卫生,351,1679
玻璃,350,1681
竟然,350,1681
量,350,1681
文明,350,1681
多数,349,1685
离,349,1685
做到,349,1685
不良,348,1688
承认,348,1688
传播,348,1688
年龄,348,1688
取,348,1688
自动,348,1688
成熟,347,1694
打算,347,1694
堆,347,1694
国立,347,1694
毫无,346,1698
照,346,1698
包含,345,1700
叫做,345,1700
适应,345,1700
不满,344,1703
尝试,344,1703
从来,344,1703
工会,344,1703
陆续,344,1703
人性,344,1703
要是,344,1703
和平,343,1710
有没有,343,1710
不易,342,1712
场所,342,1712
东,342,1712
听说,342,1712
休息,342,1712
以外,342,1712
走到,342,1712
高级,341,1719
关怀,341,1719
假如,341,1719
干部,340,1722
另一方面,340,1722
市民,340,1722
为止,340,1722
研发,340,1722
表面,339,1727
不得,339,1727
女子,339,1727
不幸,338,1730
吃饭,338,1730
二月,338,1730
发行,338,1730
还有,338,1730
联盟,338,1730
台湾人,338,1730
幸福,338,1730
性质,338,1730
引进,338,1730
真是,338,1730
施工,337,1741
予以,337,1741
主持,337,1741
城,336,1744
大幅,336,1744
改,336,1744
攻击,336,1744
师生,336,1744
实力,336,1744
晚,336,1744
一日,336,1744
一再,336,1744
大小,335,1753
管道,335,1753
明确,335,1753
指示,335,1753
岛,334,1757
多半,334,1757
绝不,334,1757
认同,334,1757
像是,334,1757
保育,333,1762
哈,333,1762
轻,333,1762
细胞,333,1762
一致,333,1762
立委,332,1767
清,332,1767
资格,332,1767
作者,332,1767
弹性,331,1771
经理,331,1771
病毒,330,1773
公布,330,1773
股票,330,1773
情感,330,1773
望,330,1773
展示,330,1773
自动化,330,1773
管制,329,1780
拒绝,329,1780
浪费,329,1780
农业,329,1780
忘,329,1780
行业,328,1785
妻子,328,1785
一边,328,1785
证券,328,1785
必然,327,1789
抗议,327,1789
哭,327,1789
主人,327,1789
分布,326,1793
真实,326,1793
厂,325,1795
大人,325,1795
星期,325,1795
免费,324,1798
幅,323,1799
日常,323,1799
失败,323,1799
冲击,322,1802
机器,322,1802
外面,322,1802
